Topic,Category,Count,Percentage
0,Programming Challenges,70,0.23972602739726026
-1,Miscellaneous,36,0.1232876712328767
1,Biography,35,0.11986301369863013
2,Logic Puzzles,30,0.10273972602739725
3,Medical Advice,21,0.07191780821917808
4,AI Development,19,0.06506849315068493
5,Animal Behavior,18,0.06164383561643835
6,Content Creation,14,0.04794520547945205
7,Character Counting,12,0.0410958904109589
8,Economic Policy,11,0.03767123287671233
9,Creative Prompts,10,0.03424657534246575
10,Biblical Analysis,10,0.03424657534246575
11,Math Comparison,6,0.02054794520547945
