2024-12-09 23:07:27 | INFO | gradio_web_server_multi | args: Namespace(host='0.0.0.0', port=7870, share=True, controller_url='http://localhost:21001', concurrency_count=10, model_list_mode='once', moderate=False, show_terms_of_use=False, vision_arena=False, random_questions=None, register_api_endpoint_file=None, gradio_auth_path=None, elo_results_file=None, leaderboard_table_file=None, arena_hard_table=None, gradio_root_path=None, ga_id=None, use_remote_storage=False, password=None)
2024-12-09 23:07:34 | INFO | gradio_web_server_multi | load_demo. ip: 127.0.0.1. params: 
2024-12-09 23:27:19 | INFO | gradio_web_server_multi | args: Namespace(host='0.0.0.0', port=7870, share=True, controller_url='http://localhost:21001', concurrency_count=10, model_list_mode='once', moderate=False, show_terms_of_use=False, vision_arena=False, random_questions=None, register_api_endpoint_file=None, gradio_auth_path=None, elo_results_file=None, leaderboard_table_file=None, arena_hard_table=None, gradio_root_path=None, ga_id=None, use_remote_storage=False, password=None)
2024-12-09 23:27:38 | INFO | gradio_web_server_multi | args: Namespace(host='0.0.0.0', port=7870, share=True, controller_url='http://localhost:21001', concurrency_count=10, model_list_mode='once', moderate=False, show_terms_of_use=False, vision_arena=False, random_questions=None, register_api_endpoint_file=None, gradio_auth_path=None, elo_results_file=None, leaderboard_table_file=None, arena_hard_table=None, gradio_root_path=None, ga_id=None, use_remote_storage=False, password=None)
2024-12-09 23:28:01 | INFO | gradio_web_server_multi | args: Namespace(host='0.0.0.0', port=7870, share=True, controller_url='http://localhost:21001', concurrency_count=10, model_list_mode='once', moderate=False, show_terms_of_use=False, vision_arena=False, random_questions=None, register_api_endpoint_file=None, gradio_auth_path=None, elo_results_file=None, leaderboard_table_file=None, arena_hard_table=None, gradio_root_path=None, ga_id=None, use_remote_storage=False, password=None)
2024-12-09 23:28:05 | INFO | gradio_web_server_multi | load_demo. ip: 127.0.0.1. params: 
2024-12-09 23:28:40 | INFO | gradio_web_server_multi | args: Namespace(host='0.0.0.0', port=7870, share=True, controller_url='http://localhost:21001', concurrency_count=10, model_list_mode='once', moderate=False, show_terms_of_use=False, vision_arena=False, random_questions=None, register_api_endpoint_file=None, gradio_auth_path=None, elo_results_file=None, leaderboard_table_file=None, arena_hard_table=None, gradio_root_path=None, ga_id=None, use_remote_storage=False, password=None)
2024-12-09 23:28:44 | INFO | gradio_web_server_multi | load_demo. ip: 127.0.0.1. params: 
2024-12-09 23:34:11 | INFO | gradio_web_server_multi | args: Namespace(host='0.0.0.0', port=7870, share=True, controller_url='http://localhost:21001', concurrency_count=10, model_list_mode='once', moderate=False, show_terms_of_use=False, vision_arena=False, random_questions=None, register_api_endpoint_file=None, gradio_auth_path=None, elo_results_file=None, leaderboard_table_file=None, arena_hard_table=None, gradio_root_path=None, ga_id=None, use_remote_storage=False, password=None)
2024-12-09 23:34:16 | INFO | gradio_web_server_multi | load_demo. ip: 127.0.0.1. params: 
2024-12-09 23:35:20 | INFO | gradio_web_server_multi | args: Namespace(host='0.0.0.0', port=7870, share=True, controller_url='http://localhost:21001', concurrency_count=10, model_list_mode='once', moderate=False, show_terms_of_use=False, vision_arena=False, random_questions=None, register_api_endpoint_file=None, gradio_auth_path=None, elo_results_file=None, leaderboard_table_file=None, arena_hard_table=None, gradio_root_path=None, ga_id=None, use_remote_storage=False, password=None)
2024-12-09 23:35:23 | INFO | gradio_web_server_multi | load_demo. ip: 127.0.0.1. params: 
2024-12-09 23:37:21 | INFO | gradio_web_server_multi | args: Namespace(host='0.0.0.0', port=7870, share=True, controller_url='http://localhost:21001', concurrency_count=10, model_list_mode='once', moderate=False, show_terms_of_use=False, vision_arena=False, random_questions=None, register_api_endpoint_file=None, gradio_auth_path=None, elo_results_file=None, leaderboard_table_file=None, arena_hard_table=None, gradio_root_path=None, ga_id=None, use_remote_storage=False, password=None)
2024-12-09 23:37:25 | INFO | gradio_web_server_multi | load_demo. ip: 127.0.0.1. params: 
2024-12-09 23:39:46 | INFO | gradio_web_server_multi | args: Namespace(host='0.0.0.0', port=7870, share=True, controller_url='http://localhost:21001', concurrency_count=10, model_list_mode='once', moderate=False, show_terms_of_use=False, vision_arena=False, random_questions=None, register_api_endpoint_file=None, gradio_auth_path=None, elo_results_file=None, leaderboard_table_file=None, arena_hard_table=None, gradio_root_path=None, ga_id=None, use_remote_storage=False, password=None)
2024-12-09 23:39:49 | INFO | gradio_web_server_multi | load_demo. ip: 127.0.0.1. params: 
2024-12-09 23:41:43 | INFO | gradio_web_server_multi | args: Namespace(host='0.0.0.0', port=7870, share=True, controller_url='http://localhost:21001', concurrency_count=10, model_list_mode='once', moderate=False, show_terms_of_use=False, vision_arena=False, random_questions=None, register_api_endpoint_file=None, gradio_auth_path=None, elo_results_file=None, leaderboard_table_file=None, arena_hard_table=None, gradio_root_path=None, ga_id=None, use_remote_storage=False, password=None)
2024-12-09 23:41:46 | INFO | gradio_web_server_multi | load_demo. ip: 127.0.0.1. params: 
