Topic,Category,Count,Percentage
0,Language Translation,22,0.11282051282051282
6,Programming Concepts,20,0.10256410256410256
2,Content Creation,18,0.09230769230769231
3,Technology & Data,15,0.07692307692307693
1,Logic Puzzles,14,0.07179487179487179
5,AI Prompts,14,0.07179487179487179
8,Data Analysis,14,0.07179487179487179
4,Global Issues,13,0.06666666666666667
7,Web Development,11,0.05641025641025641
12,Varied Interests,10,0.05128205128205128
11,Pop Culture,10,0.05128205128205128
13,Science & Mathematics,10,0.05128205128205128
14,Problem Solving,10,0.05128205128205128
9,Mathematical Comparisons,8,0.041025641025641026
10,Counting Problems,6,0.03076923076923077
